region,circunscripcion_senatorial,distrito,circunscripcion_provincial,comuna,electores
Región de Arica y Parinacota,1,1,ARICA,ARICA,172372
Región de Arica y Parinacota,1,1,ARICA,CAMARONES,4023
Región de Arica y Parinacota,1,1,PARINACOTA,PUTRE,6246
Región de Arica y Parinacota,1,1,PARINACOTA,GENERAL LAGOS,2421
Región de Tarapaca,2,2,IQUIQUE,IQUIQUE,160432
Región de Tarapaca,2,2,IQUIQUE,ALTO HOSPICIO,51451
Región de Tarapaca,2,2,TAMARUGAL,POZO ALMONTE,11215
Región de Tarapaca,2,2,TAMARUGAL,HUARA,9046
Región de Tarapaca,2,2,TAMARUGAL,PICA,5000
Región de Tarapaca,2,2,TAMARUGAL,COLCHANE,3379
Región de Tarapaca,2,2,TAMARUGAL,CAMIÑA,2820
Región de Antofagasta,3,3,ANTOFAGASTA,ANTOFAGASTA,264504
Región de Antofagasta,3,3,ANTOFAGASTA,TALTAL,10133
Región de Antofagasta,3,3,ANTOFAGASTA,MEJILLONES,9058
Región de Antofagasta,3,3,ANTOFAGASTA,SIERRA GORDA,3588
Región de Antofagasta,3,3,EL LOA,CALAMA,125030
Región de Antofagasta,3,3,EL LOA,SAN PEDRO DE ATACAMA,5903
Región de Antofagasta,3,3,EL LOA,OLLAGUE,2027
Región de Antofagasta,3,3,TOCOPILLA,TOCOPILLA,21912
Región de Antofagasta,3,3,TOCOPILLA,MARIA ELENA,6607
Región de Atacama,4,4,CHAÑARAL,DIEGO DE ALMAGRO,13938
Región de Atacama,4,4,CHAÑARAL,CHAÑARAL,11818
Región de Atacama,4,4,COPIAPO,COPIAPO,117897
Región de Atacama,4,4,COPIAPO,CALDERA,13921
Región de Atacama,4,4,COPIAPO,TIERRA AMARILLA,12577
Región de Atacama,4,4,HUASCO,VALLENAR,44821
Región de Atacama,4,4,HUASCO,HUASCO,8030
Región de Atacama,4,4,HUASCO,FREIRINA,5682
Región de Atacama,4,4,HUASCO,ALTO DEL CARMEN,4786
Región de Coquimbo,5,5,CHOAPA,ILLAPEL,27019
Región de Coquimbo,5,5,CHOAPA,SALAMANCA,22174
Región de Coquimbo,5,5,CHOAPA,LOS VILOS,17434
Región de Coquimbo,5,5,CHOAPA,CANELA,8778
Región de Coquimbo,5,5,ELQUI,LA SERENA,160944
Región de Coquimbo,5,5,ELQUI,COQUIMBO,156212
Región de Coquimbo,5,5,ELQUI,VICUÑA,22062
